Date,SP500,T10yAaa.lag,AaaBaa.lag,T10yT1y.lag
1986-03-12,0.003661943256607,1.26,1.56,0.67
1986-03-13,0.002791357348821,1.28,1.51,0.64
1986-03-14,0.01430603427253,1.25,1.5,0.68
1986-03-17,-0.007979351347568,1.27,1.45,0.72
1986-03-18,0.004718899210842,1.23,1.45,0.74
1986-03-19,-0.000763685378415,1.22,1.46,0.8
1986-03-20,0.003981819985343,1.22,1.49,0.8
1986-03-21,-0.013620696976324,1.24,1.49,0.78
1986-03-24,0.00849219266423,1.23,1.46,0.82
1986-03-25,-0.002595474262506,1.3,1.43,0.78
1986-03-26,0.010931857428876,1.3,1.44,0.77
1986-03-27,0.007012849140969,1.3,1.49,0.72
1986-03-31,-0.000292996008259,1.32,1.56,0.7
1986-04-01,-0.015863952029843,1.34,1.58,0.67
1986-04-02,0.00242118836654,1.34,1.57,0.67
1986-04-03,-0.013841076807751,1.39,1.53,0.65
1986-04-04,-0.016393805331844,1.33,1.52,0.73
1986-04-07,-0.000262385198224,1.35,1.49,0.87
1986-04-08,0.021162745459481,1.39,1.48,0.87
1986-04-09,0.000984424493784,1.45,1.48,0.83
1986-04-10,0.011442316246177,1.45,1.49,0.94
1986-04-11,-0.001989801875864,1.48,1.49,0.91
1986-04-14,0.005536191636082,1.43,1.53,0.95
1986-04-15,0.001894684909178,1.48,1.5,0.93
1986-04-16,0.018710849137013,1.49,1.49,0.96
1986-04-17,0.003338480174408,1.64,1.52,0.84
1986-04-18,-0.002678125226685,1.6,1.55,0.84
1986-04-21,0.00968967981826,1.58,1.3,0.9
1986-04-22,-0.009524692195145,1.68,1.29,0.81
1986-04-23,-0.002767616458818,1.59,1.22,0.93
1986-04-24,0.001116249564062,1.55,1.21,0.88
1986-04-25,0.001114943030873,1.48,1.22,0.89
1986-04-28,0.003255288566559,1.44,1.24,0.93
1986-04-29,-0.010628967561085,1.5,1.25,0.89
1986-04-30,-0.020965795409606,1.57,1.25,0.83
1986-05-01,-0.001529701980457,1.56,1.22,0.84
1986-05-02,-0.00157468274846,1.52,1.21,0.9
1986-05-05,0.012444091289081,1.5,1.23,0.94
1986-05-06,-0.002063251038141,1.52,1.19,0.94
1986-05-07,-0.00490156893984,1.51,1.19,0.98
1986-05-08,0.00443779593711,1.56,1.17,0.94
1986-05-09,0.003031713060774,1.55,1.2,0.95
1986-05-12,-0.001135830824662,1.52,1.19,0.97
1986-05-13,-0.004936814538147,1.43,1.15,1.06
1986-05-14,0.004768398135909,1.46,1.14,1.02
1986-05-15,-0.013178994875606,1.42,1.18,1.1
1986-05-16,-0.007149147694652,1.34,1.22,1.14
1986-05-19,0.001888583304729,1.21,1.18,1.19
1986-05-20,0.012401360752342,1.23,1.18,1.18
1986-05-21,-0.002799238416181,1.29,1.17,1.13
1986-05-22,0.019640213612716,1.28,1.19,1.18
1986-05-23,0.005109409405943,1.29,1.19,1.15
1986-05-27,0.013989094443956,1.28,1.25,1.14
1986-05-28,0.007651976694816,1.34,1.25,1.06
1986-05-29,0.005458823515927,1.36,1.25,1.01
1986-05-30,-0.00254371969052,1.16,1.24,1.12
1986-06-02,-0.009382927973088,1.19,1.17,1.17
1986-06-03,0.001916225279033,1.05,1.14,1.32
1986-06-04,-0.006415357622958,1.14,1.17,1.18
1986-06-05,0.006985432575832,0.96,1.1,1.31
1986-06-06,8.14296195423836E-05,0.92,1.23,1.26
1986-06-09,-0.023516891852784,1.21,1.25,1.11
1986-06-10,-0.001584873305293,1.1,1.25,1.23
1986-06-11,0.006448829228189,1.12,1.28,1.18
1986-06-12,0.001491857193278,1.19,1.24,1.08
1986-06-13,0.017405270844997,1.21,1.24,1.1
1986-06-16,0.001626516030472,1.39,1.23,1.07
1986-06-17,-0.007258223676958,1.43,1.23,1
1986-06-18,0.002615765523078,1.44,1.22,1.05
1986-06-19,-0.003803325285197,1.52,1.19,1
1986-06-20,0.014319681672874,1.46,1.18,1.03
1986-06-23,-0.009414918234509,1.45,1.23,1
1986-06-24,0.007190930747049,1.47,1.21,0.95
1986-06-25,0.007661921629061,1.54,1.19,0.9
1986-06-26,-0.000763509996556,1.6,1.19,0.89
1986-06-27,0.003451466206829,1.59,1.17,0.9
1986-06-30,0.004955609194666,1.59,1.21,0.91
1986-07-01,0.004772507572085,1.61,1.2,0.94
1986-07-02,0.002615225221879,1.56,1.22,0.98
1986-07-03,-0.003607623560463,1.56,1.23,0.99
1986-07-07,-0.031222244336181,1.58,1.24,1.05
1986-07-08,-0.010131076707133,1.59,1.25,1.05
1986-07-09,0.005078399025181,1.5,1.22,1.03
1986-07-10,0.000782117238139,1.56,1.27,1
1986-07-11,-0.003256165960524,1.57,1.23,1.02
1986-07-14,-0.01711365225075,1.58,1.26,1.13
1986-07-15,-0.01886567156274,1.6,1.24,1.07
1986-07-16,0.005760960746703,1.66,1.24,0.99
1986-07-17,0.004500355712627,1.62,1.26,1
1986-07-18,0.001227669841086,1.67,1.27,0.97
1986-07-21,-0.000507812107724,1.69,1.28,1.01
1986-07-22,0.008178402349728,1.71,1.26,1
1986-07-23,0.002055175345369,1.71,1.23,1
1986-07-24,-0.003021281336252,1.64,1.19,1
1986-07-25,0.009494619329766,1.47,1.41,1.05
1986-07-28,-0.017681018465477,1.48,1.45,1.01
1986-07-29,-0.006205358258801,1.39,1.4,1.14
1986-07-30,0.008659870752394,1.48,1.4,1.08
1986-07-31,-0.001988539120497,1.46,1.41,1.11
1986-08-01,-0.005137650103343,1.51,1.4,1.14
1986-08-04,0.004586973340365,1.52,1.39,1.19
1986-08-05,0.00439725875004,1.51,1.4,1.2
1986-08-06,-0.00080192040934,1.47,1.41,1.23
1986-08-07,0.000844082959892,1.41,1.46,1.27
1986-08-08,-0.000675168833359,1.41,1.47,1.26
1986-08-11,0.01591451636682,1.5,1.49,1.18
1986-08-12,0.010991404653508,1.51,1.54,1.17
1986-08-13,0.009529537887807,1.54,1.52,1.2
1986-08-14,0.002358116242994,1.56,1.53,1.18
1986-08-15,0.003648135424015,1.56,1.5,1.16
1986-08-18,0.00093022068247,1.58,1.54,1.16
1986-08-19,-0.00352309583063,1.55,1.45,1.16
1986-08-20,0.013137970089185,1.62,1.49,1.13
1986-08-21,-0.000400472532982,1.64,1.47,1.15
1986-08-22,0.002080599318157,1.68,1.45,1.22
1986-08-25,-0.009558321767216,1.61,1.43,1.29
1986-08-26,0.020094546348618,1.6,1.4,1.34
1986-08-27,0.001817707067477,1.64,1.42,1.29
1986-08-28,-0.001817707067477,1.58,1.43,1.33
1986-08-29,0.000355881143236,1.58,1.41,1.36
1986-09-02,-0.017589401636275,1.64,1.43,1.43
1986-09-03,0.006257533379831,1.65,1.38,1.44
1986-09-04,0.014883884813201,1.53,1.35,1.52
1986-09-05,-0.013325602617296,1.59,1.33,1.52
1986-09-08,-0.00934605788177,1.47,1.33,1.6
1986-09-09,-0.001895892150723,1.44,1.39,1.6
1986-09-10,-0.002465992820551,1.44,1.39,1.58
1986-09-11,-0.049280065382635,1.44,1.37,1.61
1986-09-12,-0.019363039589029,1.34,1.34,1.73
1986-09-15,0.005490617109673,1.32,1.32,1.83
1986-09-16,-0.0009489756075,1.38,1.33,1.76
1986-09-17,-0.000172671560714,1.38,1.32,1.77
1986-09-18,0.002715599040425,1.45,1.29,1.69
1986-09-19,-0.000430513219961,1.36,1.27,1.75
1986-09-22,0.01164540283112,1.36,1.25,1.81
1986-09-23,0.003144945278715,1.4,1.27,1.8
1986-09-24,0.002585025293206,1.42,1.26,1.75
1986-09-25,-0.019013185132955,1.47,1.27,1.7
1986-09-26,0.001723889586615,1.48,1.26,1.69
1986-09-29,-0.010040297266471,1.47,1.27,1.68
1986-09-30,0.00611411815717,1.43,1.28,1.68
1986-10-01,0.009808213087877,1.44,1.31,1.63
1986-10-02,0.001368891372478,1.48,1.33,1.59
1986-10-03,-0.000898107528899,1.45,1.36,1.62
1986-10-06,0.004567840708487,1.55,1.37,1.71
1986-10-07,-0.001577165218055,1.56,1.39,1.7
1986-10-08,0.00963725225968,1.56,1.39,1.71
1986-10-09,-0.003512953062526,1.56,1.38,1.76
1986-10-10,-0.001570067996689,1.54,1.38,1.76
1986-10-13,0.001824426140879,1.52,1.35,1.77
1986-10-14,-0.002291670503643,NA,1.37,NA
1986-10-15,0.014467671270546,1.39,1.35,1.8
1986-10-16,0.003052271710701,1.37,1.36,1.81
1986-10-17,-0.002884810860785,1.36,1.38,1.81
1986-10-20,-0.012089172392068,1.32,1.39,1.76
